page	left	top	code
1	82	67	26
1	82	262	by J.-F. Coeurjolly, R. Drouilhet, P. Lafaye de Micheaux
1	82	280	and J.-F. Robineau
1	96	332	  menting large sample tests and confidence in-
1	96	350	  tervals. One and two sample mean and vari-
1	96	368	  ance tests (differences and ratios) are considered.
1	96	386	  The test statistics are all expressed in the same
1	96	403	  form as the Student t-test, which facilitates their
1	96	421	  presentation in the classroom. This contribution
1	96	439	  also fills the gap of a robust (to non-normality)
1	96	457	  alternative to the chi-square single variance test
1	96	475	  for large samples, since no such procedure is im-
1	96	493	  plemented in standard statistical software.
1	82	574	It is sometimes desirable to compare two variances
1	82	592	rather than two averages. To cite a few examples
1	82	628	would like two college professors grading exams to
1	82	646	have the same variation in their grading; in order for
1	82	664	a lid to fit a container, the variation in the lid and the
1	82	682	container should be the same; a supermarket might
1	82	700	be interested in the variability of check-out times for
1	82	718	two checkers.
1	105	735	    Now usually, a first course on statistical inference
1	82	753	presents mean tests in both Gaussian and asymptoti-
1	82	771	cal frameworks (Table 1), but variance tests are often
1	82	789	presented only in the Gaussian case (Table 2).
1	115	814	     Population law      Test statistic   Law
1	82	1043	and large sample cases.
1	169	1071	               Test statistic         Law
1	481	262	   An important point to be noticed is that stu-
1	459	280	dents are usually told that mean tests are robust to
1	459	298	non-normality for large samples as indicated by the
1	459	352	could think that this also occurs for variance tests. In-
1	459	370	deed, many practitioners use the classical chi-square
1	459	388	single variance test or Fisher’s two variances test,
1	459	406	even if the Gaussian assumption fails. This could
1	459	424	lead to heavy errors, even for large samples, as
1	459	460	this situation as "catastrophic".
1	481	478	   To have a better idea of the type I error in the
1	459	496	classical single variance test, let us test for example
1	459	568	age of rejection of the null of 21.53%, thus showing
1	459	586	a type I error far greater than α. The percentage for
1	459	604	the asymptotic test (described later) is 9.05% which is
1	459	640	variance test leads to a type I error far lesser than α
1	459	658	(0.44%). Our test still behaves correctly with a type
1	459	676	I error near α (5.39%). This is mainly due to the de-
1	459	694	parture of the kurtosis of the distribution from 3 (for
1	481	748	   Note that the problem of the robustness (to de-
1	459	766	partures from normality) of tests for comparing two
1	459	784	(or more) variances has been widely treated in the
1	459	838	ences therein. These authors built specific test statis-
1	459	856	tics. Note also that in the one sample (non Gaussian)
1	459	874	case, to the best of our knowledge, no statistical tool
1	459	891	is available to compare a population variance to a ref-
1	459	909	erence value.
1	459	964	ing a large sample test statistic may be based on an
1	459	982	estimator that has an asymptotic normal distribu-
1	459	1000	tion. Suppose we wish to test a hypothesis about a
1	459	1036	a sample of size n. If we can prove some form of the
1	459	1173	then one has the basis for an approximate test.
1	82	1218	The R Journal Vol. 1/2, December 2009
1	704	1218	                                  ISSN 2073-4859
2	790	67	                                            27
2	82	593	statistics of the chi-square variance test (top) and Fisher’s ratio of variances test (bottom) in the large sample
2	82	617	Gaussian context. The parameters of the simulation are: n
2	105	684	   This approach can be used to complete Table 2 for
2	82	702	the large sample case, shown in Table 3 for the single
2	82	720	variance test only:
2	105	917	    The case of a (large sample) test for a difference in
2	82	935	scale parameters (possibly weighted by a factor ρ) is
2	82	953	also of interest as suggested by the availability of re-
2	82	971	lated procedures in R (to compute Ansari-Bradley’s
2	82	989	and Mood’s tests for example). The standard error
2	105	1048	    The point to be noted here is that this general ap-
2	82	1101	very similar to the classical t-test from a mathemat-
2	82	1119	ical point of view. Proofs, which are not very com-
2	82	1137	plicated, are provided in the report just cited. The
2	82	1155	details are not fully expounded here but lead us to
2	82	1173	propose a more complete, homogeneous teaching
2	459	684	framework, with no additional difficulty, to test var-
2	459	702	ious parameters such as the mean, the variance, and
2	459	720	the difference or ratio of means or variances (for
