page	left	top	code
7	82	528	<html>
7	82	544	<head><title>Rweb</title></head>
7	82	561	<body>
7	82	577	<p style="font-size:30px">
7	82	594	Rweb server at PBIL</p>
7	82	610	<form onSubmit = "return checkData(this)"
7	82	627	action="http://pbil.univ-lyon1.fr/cgi-bin/
7	82	643	Rweb/Rweb.cgi"
7	82	660	enctype="multipart/form-data"
7	82	676	method="post">
7	82	692	<textarea name="Rcode" rows=5 cols=80>
7	82	709	plot(runif(100))
7	82	725	</textarea><br />
7	82	742	<input type="submit" value="Run it!">
7	82	758	</form>
7	82	775	</body>
7	82	791	</html>
