page	left	top	code
1	459	1077	> library(dclone)
1	459	1093	> set.seed(1234)
1	459	1110	> n <- 50
1	459	1126	> beta <- c(1.8, -0.9)
1	459	1142	> sigma <- 0.2
1	459	1159	> x <- runif(n, min = 0, max = 1)
1	459	1175	> X <- model.matrix(~ x)
2	82	127	> alpha <- rnorm(n, mean = 0, sd = sigma)
2	82	144	> lambda <- exp(alpha + drop(X %*% beta))
2	82	160	> Y <- rpois(n, lambda)
2	82	414	> glmm.model <- function() {
2	82	431	+ for (i in 1:n) {
2	82	447	+ Y[i] ~ dpois(lambda[i])
2	82	463	+ lambda[i] <- exp(alpha[i] +
2	82	480	+ inprod(X[i,], beta[1,]))
2	82	496	+ alpha[i] ~ dnorm(0, tau)
2	82	513	+ }
2	82	529	+ for (j in 1:np) {
2	82	546	+ beta[1,j] ~ dnorm(0, 0.001)
2	82	562	+ }
2	82	579	+ log.sigma ~ dnorm(0, 0.001)
2	82	595	+ sigma <- exp(log.sigma)
2	82	611	+ tau <- 1 / pow(sigma, 2)
2	82	628	+ }
2	82	989	> dat <- list(Y = Y, X = X, n = n,
2	82	1006	+ np = ncol(X))
2	82	1022	> mod <- jags.fit(dat,
2	82	1039	+ c("beta", "sigma"), glmm.model, n.iter = 1000)
2	459	127	> glmm.model.bugs <- function() {
2	459	144	+ for (i in 1:n) {
2	459	160	+ Y[i] ~ dpois(lambda[i])
2	459	177	+ lambda[i] <- exp(alpha[i] +
2	459	193	+ inprod(X[i,], beta[1,]))
2	459	210	+ alpha[i] ~ dnorm(0, tau) %_% I(-5, 5)
2	459	226	+ }
2	459	242	+ for (j in 1:np) {
2	459	259	+ beta[1,j] ~ dnorm(0, 0.01) %_% I(-5, 5)
2	459	275	+ }
2	459	292	+ log.sigma ~ dnorm(0, 0.01) %_% I(-5, 5)
2	459	308	+ sigma <- exp(log.sigma)
2	459	325	+ tau <- 1 / pow(sigma, 2)
2	459	341	+ }
2	459	747	> mod.wb <- bugs.fit(dat, c("beta", "sigma"),
2	459	763	+ glmm.model.bugs, DIC = FALSE, n.thin = 1)
2	459	780	> mod.ob <- bugs.fit(dat, c("beta", "sigma"),
2	459	796	+ glmm.model.bugs, program = "openbugs",
2	459	813	+ DIC = FALSE, n.thin = 1)
2	459	837	> sapply(list(JAGS = mod, WinBUGS = mod.wb,
2	459	854	+ OpenBUGS = mod.ob), coef)
2	527	878	JAGS WinBUGS OpenBUGS
2	459	895	beta[1] 1.893 1.910 1.9037
2	459	911	beta[2] -1.050 -1.074 -1.0375
2	459	928	sigma 0.161 0.130 0.0732
2	459	1174	> dclone(1:5, 1)
3	82	127	[1] 1 2 3 4 5
3	82	160	> dclone(1:5, 2)
3	89	193	[1] 1 2 3 4 5 1 2 3 4 5
3	82	210	attr(,"n.clones")
3	82	226	[1] 2
3	82	243	attr(,"n.clones")attr(,"method")
3	82	259	[1] "rep"
3	82	292	> dclone(matrix(1:4, 2, 2), 2)
3	117	325	[,1] [,2]
3	82	342	[1,] 1 3
3	82	358	[2,] 2 4
3	82	375	[3,] 1 3
