page	left	top	code
1	790	67	                                             45
1	82	218	by Maxime Hervé
1	96	308	  knowing any R commands. Six kinds of graph
1	96	362	   complete process is described with the examples
1	96	380	   of a bar plot and a scatter plot illustrating the leg-
1	96	398	   endary puzzle of African and European swallows’
1	96	416	   migrations.
1	82	519	Unlike statistical software based on a Graphical User
1	82	537	Interface (GUI ), such as Minitab® or Stata®, the R
1	82	555	language allows you to control exactly how your data
1	82	572	will be displayed. This comes at a cost: you must
1	82	590	know the exact arguments of the commands to get
1	82	608	the result you want.
1	105	628	    In this context, beginners find that drawing elabo-
1	82	646	rate graphs is often a long and difficult process made
1	82	664	up of lots of trials and slight code modifications. Some
1	82	754	mainly an explorative function in data analysis, and
1	82	772	are not customizable to get publication-ready mate-
1	82	790	rial.
1	105	810	    Therefore, many R users, especially beginners (but
1	82	828	not only), go back to Excel®-like software and their
1	82	846	clickable interfaces to quickly draw the graphs they
1	82	864	want to publish. In the compromise between speed
1	82	882	and simplicity vs. graph quality, they must sacrifice
1	82	900	graph quality in the process. This is regrettable, be-
1	82	918	cause R can do lots of things Excel® cannot, by com-
1	82	936	bining high and low-level graphical functions. The
1	82	971	fore to combine the simplicity of a GUI with the pow-
1	82	989	erful capabilities and the graphical quality of R.
1	105	1009	    To be immediately accessible to beginners, Gra-
1	82	1045	guage. Indeed, the loading of the dataset, the choice
1	82	1063	of the variables to be represented and the configura-
1	82	1081	tion of all graphical options are made with menus,
1	82	1099	checkboxes and other clickable tools.
1	105	1119	    The visual structure and functioning of the GUI
1	82	1137	are entirely based on the tcltk package developed by
1	82	1173	the Tcl/Tk language to R.
1	481	306	    Launching the interface is the only step that re-
1	459	360	duced.
1	458	445	                                                           The interface is divided into three blocks (Figure
1	478	478	   1. The navigation bar: it contains seven groups of
1	496	496	      buttons, each corresponding to one (obligatory
1	496	514	      or optional) step of the process. From left to
1	496	531	       right:
1	506	561	       A. Loading and modifying the dataset.
1	509	585	        B. Setting up a graph. From left to right: his-
1	529	603	           togram, box-and-whisker plot, bar plot, pie
1	529	621	            chart, curve and scatter plot.
1	507	644	       C. Opening a new graphics device: when a
1	529	662	           graph is drawn, it is in the active window
