page	left	top	code
1	82	67	30
1	82	173	by Daniel Adler
1	96	225	Function Interface (FFI) for R to call arbitary na-
1	96	243	tive functions without the need for C wrapper
1	96	261	code. Further we discuss a dynamic linkage
1	96	279	framework for binding standard C libraries to
1	96	297	R across platforms using a universal type infor-
1	96	315	mation format. The package rdyncall comprises
1	96	333	the framework and an initial repository of cross-
1	96	351	platform bindings for standard libraries such as
1	96	369	(legacy and modern) OpenGL, the family of SDL
1	96	387	libraries and Expat. The package enables system-
1	96	405	level programming using the R language; sam-
1	96	423	ple applications are given in the article. We out-
1	96	441	line the underlying automation tool-chain that
1	96	458	extracts cross-platform bindings from C headers,
1	96	476	making the repository extendable and open for
1	96	494	library developers.
1	82	579	We present an improved Foreign Function Interface
1	82	596	(FFI) for R that significantly reduces the amount of
1	82	614	C wrapper code needed to interface with C. We also
1	82	632	introduce a dynamic linkage that binds the C inter-
1	82	650	face of a pre-compiled library (as a whole) to an inter-
1	82	668	preted programming environment such as R - hence
1	82	704	list of the C libraries currently supported across ma-
1	82	722	jor R platforms. For each library supported, ab-
1	82	740	stract interface specifications are declared in a com-
1	82	758	pact platform-neutral text-based format stored in so-
1	82	776	called DynPort file on a local repository.
1	105	794	R was choosen as the first language to implement
1	82	812	a proof-of-concept implementation for this approach.
1	82	848	plements a toolkit of low-level facilities that can be
1	82	866	used as an alternative FFI to interface with C. It also
1	82	884	facilitates direct and convenient access to common C
1	82	902	libraries from R without compilation.
1	105	920	The project was motivated by the fact that high-
1	82	938	quality software solutions implemented in portable
1	82	956	C are often not available in interpreter-based lan-
1	82	973	guages such as R. The pool of freely available C li-
1	82	991	braries is quite large and represents an invaluable
1	82	1009	resource for software development. For example,
1	82	1063	accelerated graphics hardware for developing real-
1	82	1081	time graphics software. The combination of OpenGL
1	82	1135	tion framework for developing interactive multime-
1	459	173	dia applications that can run on a multitude of plat-
1	459	191	forms.
1	459	282	FFIs provide the backbone of a language to inter-
1	459	300	face with foreign code. Depending on the design of
1	459	318	this service, it can largely unburden developers from
1	459	336	writing additional wrapper code. In this section, we
1	459	354	compare the built-in R FFI with that provided by
1	459	390	different work flow paths for making an R binding to
1	459	408	a function from a foreign C library.
1	459	486	Suppose that we wish to invoke the C function sqrt
1	459	504	of the Standard C Math library. The function is de-
1	459	522	clared as follows in C:
1	481	587	The .C function from the base R FFI offers a call
1	459	605	gate to C code with very strict conversion rules, and
1	459	623	strong limitations regarding argument- and return-
1	459	641	types: R arguments are passed as C pointers and C
1	459	659	return types are not supported, so only C void func-
1	459	677	tions, which are procedures, can be called. Given
1	459	695	these limitations, we are not able to invoke the for-
1	459	713	eign sqrt function directly; intermediate wrapper
1	459	731	code written in C is needed:
1	481	901	We assume that the wrapper code is deployed as
1	459	919	a shared library in a package named testsqrt which
1	459	954	the testsqrt package and call the C wrapper function
1	459	972	directly via .C.
1	481	1099	To make sqrt available as a public function, an
1	459	1117	additional R wrapper layer is needed to carry out
1	459	1135	type-safety checks:
1	82	1218	The R Journal Vol. 4/1, June 2012
1	704	1218	ISSN 2073-4859
2	790	67	31
2	141	128	Lib/DynPort Description
2	489	128	Functions Constants Struct/Union
2	511	154	336 3254 -
2	514	172	59 155 -
2	511	190	238 700 27
2	511	208	201 416 34
2	514	226	35 3 -
2	514	244	71 27 -
2	514	262	34 5 3
2	514	279	38 7 -
2	511	297	387 665 84
2	514	315	65 70 -
2	507	333	1857 - -
2	511	351	317 838 1
2	511	369	547 109 11
2	514	387	79 263 10
2	514	405	75 3 -
2	229	442	Table 1: Overview of available DynPorts for portable C Libraries
2	105	625	We can conclude that – in realistic settings – the
2	82	643	built-in FFI of R almost always needs support by a
2	82	661	wrapper layer written in C. The "foreign" in the FFI
2	82	679	of base is in fact relegated to the C wrapper layer.
2	82	774	cessible via the function .dyncall. In contrast to the
2	82	792	base R FFI, which uses a C wrapper layer, the sqrt
2	82	810	function is invoked dynamically and directly by the
2	82	828	interpreter at run-time. Whereas the Standard C Math
2	82	846	library was loaded implicitly via the testsqrt package,
2	82	864	it now has to be loaded explicitly.
2	105	883	R offers functions to deal with shared libraries
2	82	901	at run-time, but the location has to be specified as
2	82	919	an absolute file path, which is platform-specific. A
2	82	936	platform-portable solution is discussed in a follow-
2	82	954	ing section on Portable loading of shared library. For
2	82	972	now, we assume that the example is done on Mac OS
2	82	990	X where the Standard C Math library has the file path
2	105	1098	We first need to load the R package rdyncall:
2	481	491	Finally, we invoke the foreign C function sqrt di-
2	459	508	rectly via .dyncall:
2	481	580	The last call pinpoints the core solution for a di-
2	459	598	rect invocation of foreign code within R: The first
2	459	616	argument specifies the address of the foreign code,
2	459	634	given as an external pointer. The second argument
2	459	652	is a call signature that specifies the argument- and re-
2	459	670	turn types of the target C function. This string "d)d"
2	459	688	specifies that the foreign function expects a double
2	459	705	scalar argument and returns a double scalar value
2	459	723	in accordance with the C declaration of sqrt. Argu-
2	459	741	ments following the call signature are passed to the
2	459	759	foreign function in the form specified by the call sig-
2	459	777	nature. In the example we pass 144 as a C double ar-
2	459	795	gument type as first argument and receive a C double
2	459	813	value converted to an R numeric.
2	459	884	The introduction of a type descriptor for foreign
2	459	902	functions is a key component that makes the FFI flex-
2	459	920	ible and type-safe. The format of the call signature
2	459	938	has the following pattern:
2	533	965	argument-types ')' return-type
2	481	991	The signature can be derived from the C function
2	459	1009	declaration: Argument types are specified first, in the
2	459	1027	direct left-to-right order of the corresponding C func-
2	459	1045	tion prototyp declaration, and are terminated by the
2	459	1063	symbol ')' followed by a single return type signa-
2	459	1081	ture.
2	481	1099	Almost all fundamental C types are supported
3	82	67	32
3	269	128	Type Sign. Type
3	563	128	Sign.
3	318	349	Table 2: C/C++ Types and Signatures
3	156	389	C function declaration
3	587	389	Call signature
3	220	487	Table 3: Examples of C functions and corresponding call signatures
3	82	536	overview of supported C types and the correspond-
3	82	572	of C functions and call signatures.
3	105	590	A public R function that encapsulates the details
3	82	608	of the sqrt call is simply defined by
3	105	695	No further guard code is needed here because
3	82	731	fied by the signature. In contrast to the R wrap-
3	82	749	per code using .C, no explicit cast of the arguments
3	82	767	via as.numeric is required, because automatic coer-
3	82	784	cion rules for fundamental types are implemented as
3	82	802	specified by the call signature. For example, using
3	82	820	the integer literal 144L instead of double works here
3	82	838	as well.
3	105	922	If any incompatibility is detected, such as a
3	82	940	wrong number of arguments, empty atomic vectors
3	82	958	or incompatible type mappings, the invocation is
3	82	976	aborted and an error is reported without risking an
3	82	993	application crash.
3	105	1012	Pointer type arguments, expressed via 'p', are
3	82	1030	handled differently. The type signature 'p' indicates
3	82	1048	that the argument is an address. When passing R
3	82	1065	atomic vectors, the C argument value is the address
3	82	1083	of the first element of the vector. External pointers
3	82	1101	and the NULL object can also be passed as values for
3	82	1119	pointer type arguments. Automatic coercion is de-
3	82	1137	liberately not implemented for pointer types. This is
3	82	1155	to support C functions that write into memory refer-
3	82	1173	enced by out pointer types.
3	481	536	Typed pointers, specified by the prefix '*' fol-
3	459	554	lowed by the signature of the base type, offer a mea-
3	459	572	sure of type-safety for pointer types; if an R vector
3	459	590	is passed and the R atomic type does not match the
3	459	608	base type, the call will be rejected. Typed pointers
