page	left	top	code
2	459	708	> library(rsm)
2	459	726	> BB.des3 <- bbd(3)
2	459	744	> Vdgraph(BB.des3)
2	459	762	number of design points= 16
2	459	780	number of factors= 3
2	535	798	          Radius   Maximum   Minimum  Average
2	466	816	 [1,] 0.00000000  4.000000  4.000000  4.00000
2	466	834	 [2,] 0.08660254  3.990100  3.990067  3.99008
2	466	852	 [3,] 0.17320508  3.961600  3.961067  3.96128
2	466	870	 [4,] 0.25980762  3.918100  3.915400  3.91648
2	466	888	 [5,] 0.34641016  3.865600  3.857067  3.86048
2	466	905	 [6,] 0.43301270  3.812500  3.791667  3.80000
2	466	923	 [7,] 0.51961524  3.769600  3.726400  3.74368
2	466	941	 [8,] 0.60621778  3.750100  3.670067  3.70208
2	466	959	 [9,] 0.69282032  3.769600  3.633067  3.68768
2	459	977	[10,] 0.77942286  3.846100  3.627400  3.71488
2	459	995	[11,] 0.86602540  4.000000  3.666667  3.80000
2	459	1013	[12,] 0.95262794  4.254106  3.766067  3.96128
2	459	1031	[13,] 1.03923048  4.633600  3.942400  4.21888
2	459	1049	[14,] 1.12583302  5.166116  4.214067  4.59488
2	459	1067	[15,] 1.21243557  5.881600  4.601067  5.11328
2	459	1085	[16,] 1.29903811  6.812500  5.125000  5.80000
2	459	1103	[17,] 1.38564065  7.993638  5.809067  6.68288
2	459	1121	[18,] 1.47224319  9.462100  6.678067  7.79168
2	459	1139	[19,] 1.55884573 11.257600  7.758400  9.15808
2	459	1156	[20,] 1.64544827 13.422175  9.078067 10.81568
2	459	1174	[21,] 1.73205081 16.000000 10.666667 12.80000
