page	left	top	code
3	149	682	> names(iris)
3	149	712	[1] "Sepal.Length" "Sepal.Width" "Petal.Length" "Petal.Width"
3	588	712	"Species"
3	149	742	> names(iris) <- c("SL", "SW", "PL", "PW", "SPP")
3	149	758	> library(car)
3	149	775	> some(iris, 3) # 3 random rows
3	183	804	SL SW PL PW SPP
3	149	821	44 5.0 3.5 1.6 0.6 setosa
3	149	837	61 5.0 2.0 3.5 1.0 versicolor
3	149	854	118 7.7 3.8 6.7 2.2 virginica
3	149	1129	> mod.iris <- lm(cbind(SL, SW, PL, PW) ~ SPP, data=iris)
3	149	1145	> class(mod.iris)
4	149	846	[1] "mlm" "lm"
4	149	986	> manova.iris <- Anova(mod.iris)
4	149	1003	> manova.iris
4	149	1031	Type II MANOVA Tests: Pillai test statistic
4	176	1047	Df test stat approx F num Df den Df Pr(>F)
4	149	1064	SPP 2 1.19 53.5 8 290 <2e-16
4	149	1092	> class(manova.iris)
4	149	1120	[1] "Anova.mlm"
4	149	1147	> summary(manova.iris)
5	149	104	Type II MANOVA Tests:
5	149	137	Sum of squares and products for error:
5	197	153	SL SW PL PW
5	149	169	SL 38.956 13.630 24.625 5.645
5	149	186	SW 13.630 16.962 8.121 4.808
5	149	202	PL 24.625 8.121 27.223 6.272
5	149	219	PW 5.645 4.808 6.272 6.157
5	149	252	------------------------------------------
5	149	285	Term: SPP
5	149	317	Sum of squares and products for the hypothesis:
5	197	334	SL SW PL PW
5	149	350	SL 63.21 -19.95 165.25 71.28
5	149	367	SW -19.95 11.34 -57.24 -22.93
5	149	383	PL 165.25 -57.24 437.10 186.77
5	149	400	PW 71.28 -22.93 186.77 80.41
5	149	432	Multivariate Tests: SPP
5	265	449	Df test stat approx F num Df den Df Pr(>F)
5	149	465	Pillai 2 1.19 53.5
5	451	465	8 290 <2e-16
5	149	482	Wilks 2 0.02 199.1
5	451	482	8 288 <2e-16
5	149	498	Hotelling-Lawley 2 32.48 580.5
5	451	498	8 286 <2e-16
5	149	515	Roy 2 32.19 1167.0
5	451	515	4 145 <2e-16
5	149	637	> anova(mod.iris)
5	149	799	> linearHypothesis(mod.iris, "0.5*SPPversicolor + 0.5*SPPvirginica")
5	149	828	. . .
5	149	845	Multivariate Tests:
5	265	861	Df test stat approx F num Df den Df Pr(>F)
5	149	878	Pillai 1 0.967 1064
5	451	878	4 144 <2e-16
5	149	894	Wilks 1 0.033 1064
5	451	894	4 144 <2e-16
5	149	911	Hotelling-Lawley 1 29.552 1064
5	451	911	4 144 <2e-16
5	149	927	Roy 1 29.552 1064
5	451	927	4 144 <2e-16
5	149	957	> linearHypothesis(mod.iris, "SPPversicolor = SPPvirginica")
5	149	987	. . .
5	149	1003	Multivariate Tests:
5	265	1020	Df test stat approx F num Df den Df Pr(>F)
5	149	1036	Pillai 1 0.7452 105.3
5	451	1036	4 144 <2e-16
5	149	1053	Wilks 1 0.2548 105.3
5	451	1053	4 144 <2e-16
5	149	1069	Hotelling-Lawley 1 2.9254 105.3
5	451	1069	4 144 <2e-16
5	149	1086	Roy 1 2.9254 105.3
5	451	1086	4 144 <2e-16
6	149	323	> C <- matrix(c(1, -0.5, -0.5, 0, 1, -1), 3, 2)
6	149	340	> colnames(C) <- c("S:VV", "V:V")
6	149	356	> rownames(C) <- unique(iris$SPP)
6	149	373	> contrasts(iris$SPP) <- C
6	149	389	> contrasts(iris$SPP)
6	224	419	S:VV V:V
6	149	435	setosa 1.0 0
6	149	452	versicolor -0.5 1
