page	left	top	code
1	149	231	social landmarks and geographic context is invaluable. ggmap is a new tool which enables such
1	148	247	visualization by combining the spatial information of static maps from Google Maps, OpenStreetMap,
1	149	264	Stamen Maps or CloudMade Maps with the layered grammar of graphics implementation of ggplot2.
1	149	280	In addition, several new utility functions are introduced which allow the user to access the Google
1	149	297	Geocoding, Distance Matrix, and Directions APIs. The result is an easy, consistent and modular
1	149	313	framework for spatial graphics with several convenient tools for spatial data analysis.
1	148	397	Visualizing spatial data in R can be a challenging task. Fortunately the task is made a good deal easier
1	149	446	those methods, one can plot the basic geographic information of (for instance) a shape file containing
1	148	462	polygons for areal data or points for point referenced data. However, compared to specialized
1	149	479	geographic information systems (GISs) such as ESRI’s ArcGIS, which can plot points, polygons, etc.
1	149	495	on top of maps and satellite imagery with drag-down menus, these visualizations can be pretty
1	149	512	disappointing. This article details some new methods for the visualization of spatial data in R using
1	149	545	information of static maps from Google Maps, OpenStreetMap, Stamen Maps or CloudMade Maps
1	149	577	and bolts of ggmap, we showcase some of its capabilities in a simple case study concerning violent
1	149	594	crimes in downtown Houston, Texas and present an overview of a few utility functions.
1	148	678	Areal data is data which corresponds to geographical extents with polygonal boundaries. A typical
1	149	694	example is the number of residents per zip code. Considering only the boundaries of the areal units,
1	149	1038	scatterplot – murders in Houston from January 2010 to August 2010 (right).
1	148	1073	While these kinds of plots are useful, they are not as informative as we would like in many situations.
1	149	1090	For instance, when plotting zip codes it is helpful to also see major roads and other landmarks which
1	149	1106	form the boundaries of areal units.
1	171	1127	The situation for point referenced spatial data is often much worse. Since we can’t easily contextu-
1	149	1143	alize a scatterplot of points without any background information at all, it is common to add points as
2	148	120	(right).
2	171	141	In most cases the plot is understandable to the researcher who has worked on the problem for
2	149	157	some time but is of hardly any use to his audience, who must work to associate the data of interest
2	148	173	with their location. Moreover, it leaves out many practical details—are most of the events to the east
2	149	190	or west of landmark x? Are they clustered around more well-to-do parts of town, or do they tend
2	149	206	to occur in disadvantaged areas? Questions like these can’t really be answered using these kinds of
2	149	223	graphics because we don’t think in terms of small scale areal boundaries (e.g. zip codes or census
2	149	239	tracts).
2	171	314	Moreover, there has recently been a deluge of interest in the subject of mapmaking in R—Ian
2	149	363	information of various kinds of static maps in the ggplot2 plotting framework. The result is an easy,
2	149	380	consistent way of specifying plots which are readily interpretable by both expert and audience and
2	149	396	safeguarded from graphical inconsistencies by the layered grammar of graphics framework. The result
2	149	429	slightly different due to map provider changes over time.
2	149	887	an experimental amalgamation of the functions presented in this article.
2	149	984	One advantage of making the plots with ggplot2 is the layered grammar of graphics on which ggplot2
2	148	1017	plot consist of five components :
