page	left	top	code
1	149	799	> showComposition()
1	149	816	Mixing-length values:
1	211	832	         1.7, 1.8, 1.9
1	149	865	alpha-enhancement values:
1	211	881	         0, 1  (i.e. [alpha/Fe] = 0.0 [alpha/Fe] = 0.3)
1	149	914	Chemical compositions:
1	190	931	      z    y.1   y.2   y.3
1	348	931	     y.4   y.5   y.6
1	163	947	  1e-04  0.249  0.25  0.27
1	341	947	    0.33  0.38  0.42
1	163	964	  2e-04  0.249  0.25  0.27
1	341	964	    0.33  0.38  0.42
1	163	980	  3e-04  0.249  0.25  0.27
1	341	980	    0.33  0.38  0.42
1	163	996	  4e-04  0.249  0.25  0.27
1	341	996	    0.33  0.38  0.42
1	163	1013	  5e-04  0.250  0.25  0.27
1	341	1013	    0.33  0.38  0.42
1	163	1029	  6e-04  0.250  0.25  0.27
1	341	1029	    0.33  0.38  0.42
1	163	1046	  7e-04  0.250  0.25  0.27
1	341	1046	    0.33  0.38  0.42
1	163	1062	  8e-04  0.250  0.25  0.27
1	341	1062	    0.33  0.38  0.42
1	163	1079	  9e-04  0.250  0.25  0.27
1	341	1079	    0.33  0.38  0.42
1	163	1095	  1e-03  0.250  0.25  0.27
1	341	1095	    0.33  0.38  0.42
2	163	104	  2e-03  0.252  0.25  0.27
2	341	104	    0.33  0.38  0.42
2	163	120	  3e-03  0.254  0.25  0.27
2	341	120	    0.33  0.38  0.42
2	163	137	  4e-03  0.256  0.25  0.27
2	341	137	    0.33  0.38  0.42
2	163	153	  5e-03  0.258  0.25  0.27
2	341	153	    0.33  0.38  0.42
2	163	169	  6e-03  0.260  0.25  0.27
2	341	169	    0.33  0.38  0.42
2	163	186	  7e-03  0.262  0.25  0.27
2	341	186	    0.33  0.38  0.42
2	163	202	  8e-03  0.264  0.25  0.27
2	341	202	    0.33  0.38  0.42
2	163	219	  9e-03  0.266  0.25  0.27
2	341	219	    0.33  0.38  0.42
2	163	235	  1e-02  0.268  0.25  0.27
2	341	235	    0.33  0.38  0.42
2	149	785	> track <- getTrk(m = 0.80, z = 0.001, y = 0.25, ml = 1.90, afe = 0)
2	149	802	> track
2	211	818	         Stellar track
2	149	851	Mass = 0.8 Msun
2	149	867	Z = 0.001 , Y = 0.25
2	149	884	Mixing length = 1.9
2	149	900	[alpha/Fe] = 0
2	149	933	> names(track)
2	149	950	[1] "mass"      "z"
2	341	950	    "y"         "ml"        "alpha.enh" "data"
2	149	966	> class(track)
2	149	982	[1] "trk"     "stellar"
2	149	1069	> names(track$data)
2	156	1086	 [1] "mod"     "time"
2	320	1086	 "logL"    "logTe"   "mass"    "Hc"      "logTc"   "logRHOc"
2	156	1102	 [9] "MHEc"    "Lpp"
2	320	1102	 "LCNO"    "L3a"     "Lg"      "radius"  "logg"
