page	left	top	code
1	148	231	writing files in Unidata NetCDF format, and gives an introduction to the NetCDF file format. NetCDF
1	149	247	is a machine independent binary file format which allows storage of different types of array based
1	149	264	data, along with short metadata descriptions. The package presented here allows access to the most
1	149	280	important functions of the NetCDF C-interface for reading, writing, and modifying NetCDF datasets.
1	149	297	In this paper, we present a short overview on the NetCDF file format and show usage examples of the
1	148	313	package.
1	149	397	NetCDF is a widely used file format in atmospheric and oceanic research – especially for weather and
1	149	413	climate model output – which allows storage of different types of array based data, along with a short
1	149	462	United States National Science Foundation) with the main goal of making best use of atmospheric and
1	171	500	NetCDF files are stored as machine-independent binary data, such that files can be exchanged
1	149	533	binary data format was used. This is the default format for all NetCDF versions and is also named
1	149	566	offset format, which allowed addressing of much larger datasets; version 4.0.0 introduced also the
1	149	582	HDF5 format, in a way that the NetCDF library can use HDF5 as its external format. By default,
1	171	619	One particular advantage of NetCDF over some other binary formats, such as the RData format
1	149	636	used by R, is the ability to access and modify arbitrary sections of array data. This allows massive
1	149	652	datasets to be processed efficiently, even if they are larger than the virtual memory available on a
1	148	669	particular system. To reduce disk space requirements, floating-point values are often packed into 8- or
1	148	685	16-bit integers, and the NetCDF-4 (HDF5) format supports transparent compression using the zlib
1	149	701	library.
1	148	739	write files with 64-bit offset. If RNetCDF is compiled and linked with version 4.0.0 or later of the
1	149	755	NetCDF library, files in NetCDF-4 (HDF5) binary format can be read if they use the data model of
1	149	772	NetCDF-3 or earlier. In this paper we give a short overview of the concept of NetCDF based on
1	149	788	Unidata’s reference manuals, followed by the concept of the package and usage examples.
1	148	906	A NetCDF dataset contains dimensions, variables, and attributes, each identified both by a name and
1	149	923	an ID number. These components can be used together to capture the meaning of data and relations
1	149	939	among data fields in an array-oriented dataset. The NetCDF library allows simultaneous access to
1	149	956	multiple NetCDF datasets which are identified by dataset ID numbers, in addition to ordinary file
1	149	972	names.
1	171	993	A NetCDF dataset contains a symbol table for variables containing their name, data type, rank
1	148	1009	(number of dimensions), dimensions, and starting disk address. Each element is stored at a disk
1	149	1026	address which is a linear function of the array indices (subscripts) by which it is identified. Hence,
1	149	1042	these indices need not be stored separately (as in a relational database). This provides a fast and
1	149	1075	need for the user to take care of the physical representation of multidimensional data on the disk.
2	136	105	Name Length Description Limits
2	148	328	The NetCDF interface defines six primitive external data types – char, byte, short, integer, float,
