page	left	top	code
3	149	104	library(betategarch)
3	149	120	set.seed(123)
3	149	137	eps <- rST(10000, df=5, skew=0.7)
3	149	153	mean(eps)
3	149	169	[1] -0.69805
3	149	186	STmean(df=5, skew=0.7)
3	149	202	[1] -0.6914265
3	149	608	y1 <- tegarchSim(2000, omega=0.1, phi1=0.95, kappa1=0.05, df=10)
3	149	678	y2 <- tegarchSim(2000, omega=0.1, phi1=0.95, kappa1=0.05, kappastar=0.02, df=10)
3	149	694	y3 <- tegarchSim(2000, omega=0.1, phi1=0.95, kappa1=0.05, df=10, skew=0.8)
3	149	711	y4 <- tegarchSim(2000, omega=0.1, phi1=0.95, kappa1=0.05, kappastar=0.02, df=10,
3	204	727	        skew=0.8)
3	149	830	mY <- tegarchSim(100, verbose=TRUE)
3	149	847	head(mY)
3	231	880	            y     sigma    stdev       lambda   lambdadagg          u
3	656	880	   epsilon
3	149	896	1  0.19977534 1.0000000 1.118034  0.000000000  0.000000000 -0.9562733  0.19977534
3	149	913	2 -1.35118283 0.9904828 1.107393 -0.009562733 -0.009562733  0.7258681 -1.36416581
3	149	929	3  0.15475640 0.9981758 1.115994 -0.001825916 -0.001825916 -0.9736225  0.15503923
3	149	946	4 -0.04853563 0.9885947 1.105282 -0.011470845 -0.011470845 -0.9973492 -0.04909558
3	149	962	5  0.48034223 0.9793455 1.094942 -0.020870795 -0.020870795 -0.7415964  0.49047270
3	149	978	6  0.39742433 0.9731245 1.087986 -0.027243220 -0.027243220 -0.8195400  0.40840028
4	149	449	y1 <- tegarchSim(3000, omega=0.2, phi1=0.98, phi2=0.9, kappa1=0.01, kappa2=0.02, df=5)
4	149	515	y2 <- tegarchSim(3000, omega=0.2, phi1=0.98, phi2=0.9, kappa1=0.01, kappa2=0.02,
4	204	531	         kappastar=0.04, df=5)
4	149	547	y3 <- tegarchSim(3000, omega=0.2, phi1=0.98, phi2=0.9, kappa1=0.01, kappa2=0.02,
4	204	564	        df=5, skew=0.95)
4	149	580	y4 <- tegarchSim(3000, omega=0.2, phi1=0.98, phi2=0.9, kappa1=0.01, kappa2=0.02,
4	204	597	         kappastar=0.04, df=5, skew=0.95)
4	149	794	set.seed(123)
4	149	811	y <- tegarchSim(5000)
4	149	827	onecompmod <- tegarch(y)
4	149	844	onecompmod
4	149	876	Date: Wed Dec 04 19:53:52 2013
4	149	893	Message (nlminb): relative convergence (4)
4	149	926	Coefficients:
4	279	942	                    omega        phi1       kappa1     kappastar       df
4	670	942	     skew
4	149	959	Estimate:   -0.002491487 0.92076991 0.014298775 -0.003284977 9.371817 0.99867519
4	149	975	Std. Error:   0.018374338 0.04263685 0.005027258   0.003574193 1.087466 0.01979645
4	149	1008	Log-likelihood: -7635.482215
4	149	1024	BIC:                 3.064414
5	149	104	vcov(onecompmod)
5	272	137	                   omega           phi1         kappa1      kappastar
5	677	137	     df
5	149	153	omega       3.376163e-04   4.821495e-06 -3.369968e-06   3.781322e-06   1.202316e-02
5	149	169	phi1        4.821495e-06   1.817901e-03 -1.321280e-04   7.384223e-05   1.460351e-05
5	149	186	kappa1    -3.369968e-06 -1.321280e-04   2.527332e-05 -5.374307e-06 -5.498031e-04
5	149	202	kappastar  3.781322e-06   7.384223e-05 -5.374307e-06   1.277486e-05   2.261583e-05
5	149	219	df         1.202316e-02  1.460351e-05 -5.498031e-04  2.261583e-05  1.182581e+00
5	149	235	skew        1.808787e-06 -6.327049e-05   3.869190e-06 -7.473051e-06   2.075498e-04
5	279	252	                    skew
5	149	268	omega       1.808787e-06
5	149	285	phi1       -6.327049e-05
5	149	301	kappa1     3.869190e-06
5	149	317	kappastar -7.473051e-06
5	149	334	df         2.075498e-04
5	149	350	skew        3.918993e-04
5	149	421	twocompmod <- tegarch(y, components=2)
5	149	1041	set.seed(123)
5	149	1058	predict(onecompmod, n.ahead=7, verbose=TRUE)
5	183	1091	     sigma     stdev
5	149	1107	1 1.012363 1.141463
5	149	1124	2 1.014470 1.143838
5	149	1140	3 1.012704 1.141847
6	149	104	4 1.011081 1.140017
6	149	120	5 1.009589 1.138335
6	149	137	6 1.008217 1.136788
6	149	153	7 1.006955 1.135365
7	149	318	data(nasdaq)
7	149	335	y <- zoo(nasdaq[,"nasdaqret"], order.by=as.Date(nasdaq[,"day"], "%Y-%m-%d"))
7	149	351	plot(y, main="The Nasdaq 100 index (daily)", xlab="", ylab="Log-return in %")
7	149	458	nasdaq1comp <- tegarch(y)
7	149	474	nasdaq1stdev <- fitted(nasdaq1comp)
7	149	491	plot(nasdaq1stdev, main="", ylab="1-comp: St.dev.", xlab="")
7	149	544	Date: Mon Dec 09 17:42:06 2013
7	149	560	Message (nlminb): relative convergence (4)
7	149	593	Coefficients:
7	259	610	                 omega         phi1       kappa1    kappastar         df
7	656	610	   skew
7	149	626	Estimate:   1.0421017 0.996543407 0.023508613 0.032033017 10.336337 0.85670426
7	149	643	Std. Error: 0.2412326 0.001184624 0.003542337 0.003065121   1.646172 0.01925872
7	149	675	Log-likelihood: -5586.666891
7	149	692	BIC:                 3.490447
7	149	979	nasdaq2comp <- tegarch(y, components=2)
7	149	996	nasdaq2stdev <- fitted(nasdaq2comp)
7	149	1012	plot(nasdaq2stdev, main="", ylab="2-comp: St.dev.", xlab="")
7	149	1082	Date: Mon Dec 09 17:42:09 2013
7	149	1098	Message (nlminb): relative convergence (4)
7	149	1131	Coefficients:
