page	left	top	code
3	149	376	> library(sgr)
3	149	393	> require(MASS)
3	149	409	> require(polycor)
3	149	426	> set.seed(367)
3	149	442	> R <- matrix(c(1,.4,.4,1),2,2)
3	149	459	> th <- list(c(-Inf,qnorm(c(0.04,0.27,0.73,0.96)), Inf),
3	149	475	+ c(-Inf,qnorm(c(0.06,0.31,0.69,0.94)),Inf))
3	149	491	> Dx <- rdatagen(n=100,R=R,Q=c(5,5),th=th)
3	149	508	> Dx$data
3	149	742	> d1 <- factor(Dx$data[,1],ordered=TRUE)
3	149	759	> d2 <- factor(Dx$data[,2],ordered=TRUE)
3	149	775	> polychor(d1,d2,ML=TRUE,std.err=TRUE)
3	149	808	Polychoric Correlation, ML est. = 0.3627 (0.09832)
4	149	1090	> RM <- replacement.matrix(Q=5,p=c(.5,0),fake.model="slight")
4	149	1106	> Fx <- rdatarepl(Dx$data,RM)
4	149	1123	46% of data replaced.
4	149	1139	> Fx$Fx
5	149	681	> RM <- replacement.matrix(Q=5,p=c(.5,0),gam=c(1.5,0),del=c(4,0))
5	149	757	> table(Dx$data[,1])
5	156	790	1 2 3 4 5
5	156	806	5 29 40 24 2
5	149	822	> table(Fx$Fx[,1])
5	156	855	1 2 3 4 5
5	156	872	2 17 36 31 14
6	149	715	> require(polycor)
6	149	731	> set.seed(367)
6	149	748	> obs.stat <- .3; mc.stat <- NULL
6	149	764	> Rmc <- matrix(c(1,.25,.25,1),2)
6	149	780	> PM <- matrix(c(rep(1,100),rep(2,100)),ncol=2,byrow=TRUE)
6	149	797	> Pparm <- list(p=matrix(c(.2,.3,.1,.2),2),gam=matrix(1,2,2),del=matrix(1,2,2))
6	149	813	> for (b in 1:1000) {
6	149	830	+ mcD <- rdatagen(n=100,R=Rmc,Q=5)$data
6	149	846	+ Fx <- partition.replacement(mcD,PM,Pparm=Pparm)
6	149	863	+ for (j in 1:ncol(Fx)) {
6	149	879	+ Fx[,j] <- ordered(Fx[,j])
6	149	896	+ }
6	149	912	+ mcpc1 <- hetcor(Fx[1:50,])$correlations[1,2]
6	149	928	+ mcpc2 <- hetcor(Fx[51:100,])$correlations[1,2]
6	149	945	+ Delta <- mcpc1-mcpc2
6	149	961	+ mc.stat <- c(mc.stat,Delta)
6	149	978	+ }
6	149	1011	> hist(mc.stat)
6	149	1027	> sum(mc.stat>=obs.stat)/1000
6	149	1043	[1] 0.226
