page	left	top	code
3	149	213	# Firstly, import the package
3	149	229	library(spartan)
3	149	246	# Directory where the example simulation results for this technique were extracted
3	149	262	FILEPATH <- "/home/user/AA"
3	149	279	# Sample sizes (number of simulation replicates in each distribution) to be analysed
3	149	295	SAMPLESIZES <- c(1, 5, 50, 100, 300)
3	149	312	# The simulation output measures to be analysed
3	149	328	MEASURES <- c("Velocity", "Displacement")
3	149	344	# Number of distributions being compared. Default: 20, as performed by Read et al
3	149	361	NUMSUBSETSPERSAMPLESIZE <- 20
3	149	377	# Output file name containing the simulation responses.
3	149	394	RESULTFILENAME <- "trackedCells_Close.csv"
3	149	410	# Not used in this case. Useful where two result files exist (e.g.\ if tracking cells
3	149	427	# close and those further away, two output files could be used). Here, results in a
3	149	443	# second file are processed if the first is blank or does not exist.
3	149	459	ALTFILENAME <- NULL
3	149	476	# Notes the column in the CSV results file where the results start.
3	149	492	# Useful as it restricts what is read in to R, getting round potential errors where
3	149	509	# the first column contains a label
3	149	525	OUTPUTFILECOLSTART <- 10
3	149	542	# Last column of the output measure results
3	149	558	OUTPUTFILECOLEND <- 11
3	149	575	# Use this if simulation results are in CSV format.
3	149	591	# Last column of the output measure results
3	149	607	OUTPUTFILECOLEND <- 11
3	149	624	# File either A: created by method 1 of this technique, containing the median of each
3	149	640	# output measure of each simulation run in that subset, or B: The name of the provided
3	149	657	# single CSV file containing the simulation responses. So if you are using the CSV
3	149	673	# structured tutorial data, this fill be the name of that CSV file.
3	149	690	MEDIANS_SUMMARY_FILE_NAME <- "AA_SimResponses.csv"
3	149	706	# The results of the A-Test comparisons of the twenty subsets for each sample size
3	149	722	# are stored within an output file. This parameter sets the name of this file.
3	149	739	# Note no file extension. Current versions of spartan output to CSV files
3	149	755	ATESTRESULTSFILENAME <- "AA_ATest_Scores.csv"
3	149	772	# A summary file is created containing the maximum and median
3	149	788	# A-Test values for each sample size. This parameter sets the name of this file.
