page	left	top	code
4	149	587	flim:
4	149	613	flim(formula, data, id, obstime, t.values = NULL, method = "locf", lambda = NULL,
4	197	630	       art.cens=NULL)
4	652	656	  id and obstime
5	149	261	flimobject <- flim(cbind(cd4, rna) ~ cd4 + rna + age,
5	293	278	                     mydata, "pID", "Obs", t.values = 1:20)
6	186	133	      grouping is an optional factor variable.
6	149	948	plot(x, response, grouping = NULL, ylim = NULL, col = NULL, naive = T,
6	156	964	 lty = 1:2, ptype = "mean", ylab = "Response", xlab = "Times", ...)
7	149	149	"flim" object is shown in the application section.
7	149	658	> install.packages("FLIM")
7	149	674	> library(FLIM)
7	149	691	> data(panss)
7	149	707	> head(panss, 8)
7	163	724	  treat time   Y id
7	149	740	1     1    0 91 1
7	149	756	2     2    0 72 2
7	149	773	3     1    0 108 3
7	149	789	4     1    1 110 3
7	149	806	5     1    0 106 4
7	149	822	6     1    1 93 4
7	149	839	7     1    0 77 5
7	149	855	8     1    1 80 5
7	149	901	flim. Here a model where the PANSS score increments are regressed onto the score value and the
7	156	961	 panss.flim <- flim(Y~Y+factor(treat), data=panss, id="id", obstime="time")
7	149	1091	flimMean:
7	149	1118	> flimMean(panss.flim, "Y")
7	163	1134	  hypothetical observed
8	149	100	0     92.02000 92.02000
8	149	116	1     87.39672 87.44595
8	149	133	2     86.01734 83.07874
8	149	149	4     85.78134 80.25926
8	149	165	6     87.88868 77.42857
8	149	182	8     88.52504 76.00000
8	149	306	> flimMean(panss.flim,"Y", grouping="treat")
8	211	322	         1         2        3    1 obs    2 obs    3 obs
8	149	339	0 93.40000 91.40000 91.26000 93.40000 91.40000 91.26000
8	149	355	1 87.84636 93.54380 80.80000 87.87755 93.79592 80.80000
8	149	372	2 86.60223 92.80858 78.64123 84.47727 88.42105 77.20000
8	149	388	4 87.91717 95.21459 74.21225 83.92500 86.30000 71.63158
8	149	405	6 85.80121 104.10217 73.76264 75.67857 91.52174 69.09091
8	149	421	8 83.48531 103.63105 78.45876 73.72000 86.87500 71.66667
8	149	491	> plot(panss.flim,"Y", grouping="treat", col=c("green","blue","brown"))
8	149	508	Mean response plot created for variable: Y
8	149	524	Full drawn: observed mean response.
8	149	541	Stipulated: flim hypothetical mean response.
8	149	573	Response variable separated by: treat which has 3 levels.
8	149	590	Group: 1 has color green. Group: 2 has color blue. Group: 3 has color brown.
9	149	294	plot(panss.flim,"Y", grouping="treat", col=c("green","blue","brown"), ptype="spa")
9	149	904	> flimList(panss.flim)
9	149	921	Call:
9	163	937	  Model: Y.inc ~ Y + factor(treat)
9	169	953	   Data: panss
9	163	970	  Times: 0 1 2 4 6
9	156	1003	 Coefficients:
9	163	1019	  (Intercept)      Y factor(treat)2 factor(treat)3
9	149	1036	0      28.369 -0.363          6.971         -5.684
9	149	1052	1       8.557 -0.112          1.145         -1.701
9	149	1068	2      10.264 -0.103          1.732         -6.567
9	149	1085	4       2.650 -0.054         11.399          0.923
9	149	1101	6       6.199 -0.099          3.661          5.817
10	149	127	> summary(flimList(panss.flim))
10	149	143	Call:
10	163	160	  Model: Y.inc ~ Y + factor(treat)
10	169	176	   Data: panss
10	163	192	  Times: 0 1 2 4 6
10	156	225	 Coefficients:
10	156	258	 (Intercept)
10	169	275	   Estimate Std. Error   t value     Pr(>|t|)
10	149	291	0 28.369363   6.766822 4.1924203 4.796753e-05
10	149	307	1 8.557158   6.069304 1.4099075 1.610906e-01
10	149	324	2 10.263738   5.880129 1.7454954 8.385207e-02
10	149	340	4 2.650326   6.697694 0.3957073 6.933743e-01
10	149	357	6 6.199175   5.389000 1.1503387 2.542846e-01
10	156	390	 Y
10	183	406	     Estimate Std. Error    t value     Pr(>|t|)
10	149	423	0 -0.36320130 0.06831664 -5.3164396 3.948642e-07
10	149	439	1 -0.11157312 0.06689537 -1.6678752 9.788447e-02
10	149	455	2 -0.10333217 0.06732753 -1.5347686 1.278774e-01
10	149	472	4 -0.05421329 0.07943341 -0.6824999 4.968945e-01
10	149	488	6 -0.09924193 0.06558725 -1.5131284 1.351699e-01
10	156	521	 factor(treat)2
10	169	538	   Estimate Std. Error   t value    Pr(>|t|)
10	149	554	0 6.971035   3.174670 2.1958296 0.029704587
10	149	570	1 1.144598   3.002800 0.3811768 0.703729668
10	149	587	2 1.732388   3.049484 0.5680922 0.571196889
10	149	603	4 11.399145   4.024242 2.8326193 0.005839657
10	149	620	6 3.661010   3.599667 1.0170413 0.312963201
10	156	653	 factor(treat)3
10	176	669	    Estimate Std. Error    t value   Pr(>|t|)
10	149	686	0 -5.6836117   3.160298 -1.7984418 0.07420171
10	149	702	1 -1.7008236   2.898236 -0.5868478 0.55838151
10	149	718	2 -6.5665452   2.891971 -2.2706126 0.02523154
10	149	735	4 0.9233581   3.712419 0.2487214 0.80421371
10	149	751	6 5.8172905   3.115758 1.8670547 0.06647537
10	149	1028	> plot(flimList(panss.flim),"Y")
10	163	1044	  Model: Y.inc ~ Y + factor(treat)
10	149	1061	Hit <Return> to see next plot:
10	149	1077	Time: 0
11	149	636	panss.boot <- flimboot(panss.flim, 100)
11	149	706	> flimSD(panss.boot, "Y", grouping="treat")
11	149	776	plot(panss.boot, "Y", "treat")
12	149	552	data(CD4sim)
12	149	568	CD4.flim <- flim(cd4 ~ cd4, id="id", obstime="time", data=CD4sim,
12	238	585	             art.cens="treat")
12	149	645	> head(CD4.flim$dataset)
12	163	661	  id time treat      cd4 AIDS   cd4.cf
12	148	677	1 1   0    0 7.071068   0 7.071068
12	149	694	2 1   1    0 6.084063   0 6.084063
12	149	710	3 1   2    0 5.471980   0 5.471980
12	148	727	4 1   3    0 4.644535   0 4.644535
12	149	743	5 1   4    0 3.900693   0 3.900693
12	149	760	6 1   5    0 3.262019   0 3.262019
