page	left	top	code
1	537	564	PROC SEQDESIGN and PROC SEQTEST
3	477	1019	nrange; the default is c(0,1000). To calculate
3	534	1036	nminmax, besides l, u, theta, sigma,
3	149	1052	t.vec, type1, type2, gamma, n.sim as given in Table
3	149	1069	binding: whether the futility boundaries are binding, and n1.lower, n1.upper, n2.lower, n2.upper,
3	588	1085	nminmax in groups 1 and 2
3	149	1118	equivonly, nonbinding and binding by default (users can suppress the plots by specifying binding =
3	149	1134	FALSE), or they can be generated by functions figureE and figureEF by taking the boundary outputs
4	491	559	t.vec = 1:4/4. t.vec can be any vector
4	238	656	nminmax; it can be any value; default is
4	457	705	c(-10, 10).
4	501	737	c(-10, 10).
4	532	785	plot = TRUE.
5	149	283	set.seed to have their results reproduced in different runs.
5	149	313	library(gset)
5	149	330	#### specify the parameters
5	149	346	L <- -0.2
5	149	363	U <- 0.2
5	149	379	theta <- 0
5	149	395	sigma <- 0.4
5	149	412	alpha <- 0.05
5	149	428	beta <- 0.2
5	149	445	K <- 4
5	149	461	r <- 1
5	149	478	#### sample size in the non-sequential setting
5	149	494	n.fix <- nfix(r, L, U, theta, sigma, alpha, beta)
5	149	551	$n1
5	149	567	[1] 69
5	149	584	$n2
5	149	600	[1] 69
5	149	673	bound1<- equivonly(L, U, sigma, n.fix$n1, n.fix$n2, 1:K/K, alpha, beta)
5	149	690	#### the boundary plot can be regenerated by using figureE(bound1, K)
5	149	799	$typeI
5	149	815	[1] 0.001602930 0.005960146 0.017804287 0.050000000
5	149	832	$equivL
5	149	848	[1] 1.857541 2.151003 2.212045 1.739736
5	149	865	$equivU
5	149	881	[1] -1.857541 -2.151003 -2.212045 -1.739736
5	149	1077	bound2 <- nonbinding(L, U, theta, sigma, n.fix$n1, n.fix$n2, 1:K/K, alpha, beta)
5	149	1093	### the boundary plot can be regenerated by using figureEF(bound2, K)
6	149	769	$typeI
6	149	785	[1] 0.001602930 0.005960146 0.017804287 0.050000000
6	149	802	$typeII
6	149	818	[1] 0.006411721 0.023840584 0.071217148 0.200000000
6	149	835	$equivL
6	149	851	[1] 1.829343 2.160757 2.197812 1.721998
6	149	867	$equivU
6	149	884	[1] -1.829343 -2.160757 -2.197812 -1.721998
6	149	900	$futilL
6	149	917	[1] -1.2607491 -0.2314749 0.6712118 1.7219983
6	149	933	$futilU
6	149	950	[1] 1.2607491 0.2314749 -0.6712118 -1.7219983
6	149	1078	= 0,sigma,K,69,69,bound2,futility = TRUE) (under H
7	158	702	$reject.rate
7	158	718	[1] 0.0479
7	158	735	$accept.rate
7	158	751	[1] 0.9521
7	158	768	$En1
7	158	784	[1] 66.9
7	158	800	$En2
7	158	817	[1] 66.9
7	158	833	$prob.stop
7	158	850	[1] 0.008025 0.022650 0.055450 0.913875
7	158	866	$prob.stopE
7	158	883	[1] 0.002075 0.004375 0.010900 0.030550
7	158	899	$prob.stopF
7	158	916	[1] 0.005950 0.018275 0.044550 0.883325
7	457	702	$reject.rate
7	457	718	[1] 0.787275
7	457	735	$accept.rate
7	457	751	[1] 0.223075
7	457	768	$En1
7	457	784	[1] 62.3
7	457	800	$En2
7	457	817	[1] 62.3
7	457	833	$prob.stop
7	457	850	[1] 0.011450 0.052500 0.299125 0.636925
7	457	866	$prob.stopE
7	457	883	[1] 0.005325 0.034550 0.253925 0.493475
7	457	899	$prob.stopF
7	457	916	[1] 0.006125 0.017950 0.045200 0.153800
7	149	1130	bound3 <- nminmax(L, U, theta, sigma, 69, 69, 1:K/K, alpha, beta)
8	149	127	$n1minmax
8	149	143	[1] 75
8	149	160	$n2minmax
8	149	176	[1] 75
8	149	192	$typeI
8	149	209	[1] 0.001602930 0.005960146 0.017804287 0.050000000
8	149	225	$typeII
8	149	242	[1] 0.006411721 0.023840584 0.071217148 0.200000000
8	149	258	$equivL
8	149	275	[1] 1.852941 2.193359 2.208099 1.729116
8	149	291	$equivU
8	149	307	[1] -1.852941 -2.193359 -2.208099 -1.729116
8	149	324	$futilL
8	149	340	[1] -1.2006119 -0.1403367 0.8067496 1.7291157
8	149	357	$futilU
8	149	373	[1] 1.2006119 0.1403367 -0.8067496 -1.7291157
8	619	400	figureEF(bound3,K),
8	646	433	oc(L,U,theta =
