page	left	top	code
8	464	364	                6,482      1,772
8	469	386	0                 156        41
8	473	397	0                 2        1
8	473	429	0                44       12
8	473	440	0                 0        0
8	473	472	0                29        4
8	473	483	0                15        7
8	473	494	0                 0        0
8	473	505	0                 1        0
8	473	526	0                15        3
8	473	537	0                 0        0
8	473	548	0                 0        0
8	473	559	0                10        1
8	482	332	               # of         # 
8	482	343	              Entries     Absent
8	508	364	
8	513	386	
8	517	397	
8	517	429	
8	517	440	
8	517	472	
8	517	483	
8	517	494	
8	517	505	
8	517	526	
8	517	537	
8	517	548	
8	517	559	
8	526	332	
8	526	343	
8	557	364	
8	561	386	
8	561	397	
8	561	429	
8	561	440	
8	561	472	
8	561	483	
8	561	494	
8	561	505	
8	561	526	
8	561	537	
8	561	548	
8	561	559	
8	570	332	
8	570	343	
8	601	364	
8	703	321	                          Decile 4−7
8	473	861	0        0        0
8	473	872	1        1        0
8	473	904	2        0        0
8	473	915	4        0        0
8	473	926	5        0        0
8	473	958	0        0        0
8	473	969	0        0        0
8	473	980	0        0        0
8	473	1012	0        0        0
8	473	1023	0        0        0
8	473	1034	0        0        0
8	473	1066	0        0        0
8	473	1077	0        0        0
8	517	861	
8	517	872	
8	517	904	
8	517	915	
8	517	926	
8	517	958	
8	517	969	
8	517	980	
8	517	1012	
8	517	1023	
8	517	1034	
8	517	1066	
8	517	1077	
8	561	861	
8	561	872	
8	561	904	
8	561	915	
8	561	926	
8	561	958	
8	561	969	
8	561	980	
8	561	1012	
8	561	1023	
8	561	1034	
8	561	1066	
8	561	1077	
