page	left	top	code
7	724	723	                                                     "a"
8	569	632	                                 domains_A and domains_B are
8	447	649	                "a" or "ab", while the latter can take values "b" or
8	149	665	"ba". Any other value will be considered as incorrect.
8	481	739	                     DatA and DatB, both included in the package.
8	149	921	> library(Frames2)
8	149	938	> data(DatA)
8	149	954	> head(DatA, 3)
8	163	971	  Domain   Feed   Clo   Lei
8	368	971	  Inc    Tax     M2 Size      ProbA     ProbB Stratum
8	149	987	1      a 194.48 38.79 23.66 2452.07 112.90
8	457	987	               0.00    0 0.02063274 0.0000000       1
8	149	1003	2      a 250.23 16.92 22.68 2052.37 106.99
8	457	1003	               0.00    0 0.02063274 0.0000000       1
8	149	1020	3     ab 199.95 24.50 23.24 2138.24 121.16 127.41
8	512	1020	                       2 0.02063274 0.1133501       1
9	149	541	> data(PiklA)
9	149	557	> PiklA[1:6, 1:6]
9	231	574	            [,1]        [,2]
9	396	574	      [,3]        [,4]        [,5]        [,6]
9	149	590	[1,] 0.020632737 0.000397876 0.000397876 0.000397876 0.000397876 0.000397876
9	149	606	[2,] 0.000397876 0.020632737 0.000397876 0.000397876 0.000397876 0.000397876
9	149	623	[3,] 0.000397876 0.000397876 0.020632737 0.000397876 0.000397876 0.000397876
9	149	639	[4,] 0.000397876 0.000397876 0.000397876 0.020632737 0.000397876 0.000397876
9	149	656	[5,] 0.000397876 0.000397876 0.000397876 0.000397876 0.020632737 0.000397876
9	149	672	[6,] 0.000397876 0.000397876 0.000397876 0.000397876 0.000397876 0.020632737
9	149	792	> library(Frames2)
9	149	809	>
9	149	825	> data(DatA)
9	149	842	> data(DatB)
9	149	858	> data(PiklA)
9	149	875	> data(PiklB)
9	149	891	>
9	149	907	> yA <- with(DatA, data.frame(Feed, Clo))
9	149	924	> yB <- with(DatB, data.frame(Feed, Clo))
9	149	940	>
9	149	957	> ## Estimation for variables Feeding and Clothing using Hartley and
9	149	973	> ## Fuller-Burmeister estimators with first and second order probabilities known
9	149	990	> Hartley(yA, yB, PiklA, PiklB, DatA$Domain, DatB$Domain)
9	149	1023	Estimation:
9	238	1039	             Feed         Clo
9	149	1055	Total 586959.9820 71967.62214
9	149	1072	Mean     246.0429    30.16751
9	149	1088	> FB(yA, yB, PiklA, PiklB, DatA$Domain, DatB$Domain)
9	149	1121	Estimation:
9	238	1138	             Feed         Clo
10	149	100	Total 591665.5078 72064.99223
10	149	116	Mean     248.0153    30.20832
10	149	133	> ## This is how estimates change when only first order probabilities are considered
10	149	149	> Hartley(yA, yB, DatA$ProbA, DatB$ProbB, DatA$Domain, DatB$Domain)
10	149	182	Estimation:
10	238	198	             Feed         Clo
10	149	215	Total 570867.8042 69473.86532
10	149	231	Mean     247.9484    30.17499
10	149	248	> FB(yA, yB, DatA$ProbA, DatB$ProbB, DatA$Domain, DatB$Domain)
10	149	281	Estimation:
10	238	297	             Feed         Clo
10	149	313	Total 571971.9511 69500.11448
10	149	330	Mean     248.4279    30.18639
10	149	455	> summary(Hartley(yA, yB, PiklA, PiklB, DatA$Domain, DatB$Domain))
10	149	488	Call:
10	149	505	Hartley(ysA = yA, ysB = yB, pi_A = PiklA, pi_B = PiklB, domains_A = DatA$Domain,
10	176	521	    domains_B = DatB$Domain)
10	149	554	Estimation:
10	238	570	             Feed         Clo
10	149	587	Total 586959.9820 71967.62214
10	149	603	Mean     246.0429    30.16751
10	149	636	Variance Estimation:
10	279	653	                   Feed
10	375	653	   Clo
10	149	669	Var. Total 2.437952e+08 4.728875e+06
10	149	686	Var. Mean 4.283804e+01 8.309261e-01
10	149	718	Total Domain Estimations:
10	272	735	                  Feed      Clo
10	149	751	Total dom. a 263233.1 31476.84
10	149	768	Total dom. ab 166651.7 21494.96
10	149	784	Total dom. b 164559.2 20451.85
10	149	801	Total dom. ba 128704.7 15547.49
