page	left	top	code
2	149	163	FSLDIR environment variable is set (which can be done when installing FSL), fslr will use this as the
2	149	332	FSLOUTPUTTYPE. If working in a GUI, the default is given by NIFTI_GZ, which returns compressed NIfTI
2	149	427	library(fslr)
2	149	443	options(fsl.path = "/usr/local/fsl")
2	149	460	options(fsl.outputtype = "NIFTI_GZ")
2	149	916	fsl_biascorrect(file = "01-Baseline_T1.nii.gz",
2	259	932	                 outfile = "01-Baseline_T1_FSL_BiasCorrect",
2	259	948	                 opts = "-v")
3	149	701	flirt(reffile = "01-Baseline_T1_FSL_BiasCorrect",
3	190	718	      infile = "01-Baseline_T2_FSL_BiasCorrect",
3	190	734	      omat = "01-Baseline_T2_FSL_BiasCorrect_rigid_to_T1.mat",
3	190	751	      dof = 6,
3	190	767	      outfile = "01-Baseline_T2_FSL_BiasCorrect_rigid_to_T1",
3	190	783	      opts = "-v")
3	149	984	flirt has options for different cost functions to optimize over, interpolation operators to estimate
4	149	1061	flirt(reffile = "01-Baseline_T1_FSL_BiasCorrect",
4	190	1078	      infile = "01-Followup_T1_FSL_BiasCorrect",
4	190	1094	      omat = "01-Followup_T1_FSL_BiasCorrect_rigid_to_BaseT1.mat",
4	190	1111	      dof = 6,
4	190	1127	      outfile = "01-Followup_T1_FSL_BiasCorrect_rigid_to_BaseT1",
4	190	1144	      opts = "-v")
5	149	643	flirt_apply(reffile = "01-Baseline_T1_FSL_BiasCorrect", # register to this
5	231	659	            infile = "01-Followup_T2_FSL_BiasCorrect_rigid_to_T1", # reg to Followup T1
5	231	676	            initmat = "01-Followup_T1_FSL_BiasCorrect_rigid_to_BaseT1.mat", #transform
5	231	692	            outfile = "01-Followup_T2_FSL_BiasCorrect_rigid_to_BaseT1" # output file
5	231	709	            )
5	149	1032	fslbet(infile = "01-Baseline_T1",
5	197	1048	       outfile = "01-Baseline_T1_FSL_BiasCorrect_Brain",
5	197	1065	       opts = "-B -f 0.1 -v", # from Popescu et al.
5	197	1081	       betcmd = "bet",
5	197	1098	       intern = FALSE)
7	149	328	mask <- fslmask(file = "01-Baseline_T2_FSL_BiasCorrect_rigid_to_T1",
7	259	345	                 mask = "01-Baseline_T1_FSL_BiasCorrect_Brain_mask",
7	259	361	                 outfile = "01-Baseline_T2_FSL_BiasCorrect_rigid_to_T1_Brain",
7	259	378	                 retimg = TRUE)
7	149	756	fnirt_with_affine will register using flirt with an affine transformation and then non-linearly
7	149	789	fnirt, the image will not achieve the necessary scaling into the template space.
7	149	818	fnirt_with_affine(infile = "01-Baseline_T1_FSL_BiasCorrect_Brain",
7	272	835	                  reffile = file.path(fsldir(), "data", "standard",
7	409	851	                                      "MNI152_T1_1mm_brain"),
7	272	868	                  flirt.omat = "01-Baseline_T1_FSL_BiasCorrect_Brain_affine_toMNI.mat",
