page	left	top	code
1	149	879	> library(ggplot2)
1	149	895	> # background for various plots later
1	149	912	> bg <- ggplot(NULL, aes(x = 1, y = 1)) + ylim(0.8, 1.2) +
1	149	928	+     theme(axis.title = element_blank(), axis.ticks = element_blank(),
1	149	945	+           axis.text = element_blank())
1	149	961	>
1	149	978	> if(capabilities("cairo")) {
1	149	994	+     png("builtin-1.png", 672, 384, type = "cairo", res = 96)
1	149	1010	+     txt1 <- annotate("text", 1, 1, label = "A sample of\nDejaVu Sans Mono",
1	149	1027	+                      family = "DejaVu Sans Mono", size = 15)
1	149	1043	+     print(bg + txt1)
1	149	1060	+     dev.off()
1	149	1076	+
1	149	1093	+     cairo_pdf("builtin-2.pdf", 7, 4)
2	149	100	+     txt2 <- annotate("text", 1, 1, label = "A sample of\nDejaVu Serif Italic",
2	149	116	+                      family = "DejaVu Serif", fontface = "italic", size = 15)
2	149	133	+     print(bg + txt2)
2	149	149	+     dev.off()
2	149	165	+ }
2	149	519	> if(.Platform$OS.type == "windows") {
2	149	536	+     windowsFonts(century = "Century Gothic")
2	149	552	+     png("builtin-3.png", 672, 384, res = 96)
2	149	569	+     txt3 <- annotate("text", 1, 1, label = "A sample of\nCentury Gothic",
2	149	585	+                      family = "century", size = 20)
2	149	602	+     print(bg + txt3)
2	149	618	+     dev.off()
2	149	635	+ }
2	149	980	pdfFonts() requires the Adobe Font Metrics files (.afm), which may be unavailable for users. On
3	149	209	> library(Cairo)
3	149	226	>
3	149	242	> CairoFonts(regular = "Liberation Sans:style=Regular",
3	149	259	+            italic = "Liberation Serif:style=Italic")
3	149	275	>
3	149	292	> CairoPDF("Cairo-1.pdf", 7, 4)
3	149	308	> txt4 <- annotate("text", 1, 1.1, label = "A sample of Liberation Sans", size = 12)
3	149	325	> txt5 <- annotate("text", 1, 0.9, label = "A sample of Liberation Serif",
3	149	341	+                  fontface = "italic", size = 12)
3	149	357	> print(bg + txt4 + txt5)
3	149	374	> dev.off()
3	149	450	> if(.Platform$OS.type == "windows") {
3	149	467	+     CairoPDF("Cairo-2.pdf", 7, 4)
3	149	483	+     txt6 <- annotate("text", 1, 1.1, label = "A sample of Constantia",
3	149	499	+                      family = "Constantia", size = 12)
3	149	516	+     txt7 <- annotate("text", 1, 0.9, label = "A sample of Lucida Console",
3	149	532	+                      family = "Lucida Console", size = 10)
3	149	549	+     print(bg + txt6 + txt7)
3	149	565	+     dev.off()
3	149	582	+ }
3	149	1076	> library(extrafont)
3	149	1093	> ## Run once
3	149	1109	> font_import()
3	149	1126	> loadfonts()
4	149	179	> library(extrafont)
4	149	195	> pdf("extrafont-1-unembedded.pdf", 7, 4)
4	149	212	> txt8 <- annotate("text", 1, 1.1, label = "A sample of Ubuntu Light",
4	149	228	+                  family = "Ubuntu Light", size = 12)
4	149	245	> txt9 <- annotate("text", 1, 0.9, label = "A sample of Ubuntu Condensed",
4	149	261	+                  family = "Ubuntu Condensed", size = 12)
4	149	278	> print(bg + txt8 + txt9)
4	149	294	> dev.off()
4	149	310	> embed_fonts("extrafont-1-unembedded.pdf", outfile = "extrafont-1.pdf")
4	149	616	> Sys.setenv(R_GSCMD = "C:/Program Files/gs/gs9.05/bin/gswin32c.exe")
6	149	130	> library(showtext)
6	149	146	> dest <- file.path(tempdir(), "xkcd.ttf")
6	149	162	> download.file("http://simonsoftware.se/other/xkcd.ttf", dest, mode = "wb")
6	149	179	> font.add("myxkcd", regular = dest)
6	149	342	> if(.Platform$OS.type == "windows") {
6	149	358	+     font.add("consolas", regular = "consola.ttf", bold = "consolab.ttf",
6	149	375	+          italic = "consolai.ttf", bolditalic = "consolaz.ttf")
6	149	391	+     font.families()
6	149	408	+ }
6	149	437	[1] "sans"         "serif"        "mono"         "wqy-microhei"
6	149	454	[5] "myxkcd"        "consolas"
6	149	699	> head(font.families.google(), 10)
6	156	729	  [1] "ABeeZee"          "Abel"            "Abril Fatface"
6	156	745	  [4] "Aclonica"         "Acme"            "Actor"
