page	left	top	code
1	620	291	
1	542	322	
1	505	372	
1	531	490	
2	524	98	
2	565	412	
2	580	412	
2	620	412	
2	500	878	
2	543	946	
3	525	431	
3	589	809	        dput()
3	621	1044	
3	516	1112	
4	503	147	
4	532	195	
4	561	195	
4	631	214	
4	534	378	
4	540	475	
4	522	852	
4	502	1075	
5	676	234	     "libcurl"
5	517	359	
5	522	459	
5	499	503	
5	583	503	
5	504	634	        method
5	525	808	
6	608	166	
6	544	874	
6	539	1123	
7	520	179	
7	479	412	
7	574	437	
7	510	480	
7	517	511	
7	491	758	
7	586	838	
8	469	162	
8	473	1101	
8	512	1101	
8	559	1101	
9	520	362	
9	471	492	          list
9	488	721	
10	569	128	
10	714	176	          long
10	509	485	
10	491	869	
10	463	1027	
11	499	774	
12	511	198	
12	561	389	
